zi,fib_num
气,0
炁,0
空,0
心,1
日,2
月,2
阳,2
阴,2
人,3
儿,3
地,3
天,3
女,3
子,3
土,5
木,5
水,5
火,5
金,5
东,8
冬,8
北,8
南,8
夏,8
春,8
秋,8
西,8
兔,13
牛,13
犬,13
狗,13
猪,13
猴,13
生,13
羊,13
虎,13
蛇,13
豕,13
马,13
鸟,13
鸡,13
鼠,13
龙,13
又,21
口,21
唇,21
头,21
尸,21
尾,21
手,21
死,21
毛,21
牙,21
皮,21
目,21
眉,21
立,21
耳,21
肉,21
脑,21
臼,21
舌,21
血,21
言,21
走,21
足,21
身,21
页,21
颈,21
骨,21
鼻,21
齿,21
一,34
七,34
万,34
三,34
丑,34
丙,34
乙,34
九,34
二,34
五,34
亥,34
八,34
六,34
十,34
千,34
午,34
卯,34
四,34
壬,34
寅,34
巳,34
庚,34
戊,34
戌,34
未,34
甲,34
申,34
癸,34
百,34
辛,34
辰,34
零,34
⺮,55
丶,55
丷,55
丿,55
亠,55
亻,55
冖,55
冫,55
刀,55
刂,55
力,55
厂,55
厶,55
囗,55
士,55
大,55
夫,55
宀,55
小,55
山,55
工,55
巾,55
干,55
广,55
彡,55
彳,55
忄,55
扌,55
攵,55
殳,55
氵,55
犭,55
王,55
疒,55
白,55
石,55
禾,55
竹,55
米,55
糸,55
纟,55
罒,55
艹,55
衣,55
衤,55
讠,55
辶,55
酉,55
门,55
隹,55
饣,55
且,89
令,89
几,89
分,89
占,89
城,89
家,89
寸,89
弓,89
戈,89
斤,89
方,89
欠,89
甫,89
田,89
由,89
病,89
皿,89
示,89
穴,89
羽,89
草,89
虫,89
贝,89
车,89
雨,89
非,89
革,89
食,89
鬼,89
鱼,89
黑,89
